id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,113,3,253,2025-06-08,1.99,1,341,11,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,100,2,580,2025-06-01,2.98,1,60,51,R24000114046
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,203,4,121,2025-06-11,0.89,7,284,28,2209984
12140,Lincoln Park Guest House,46734,Shay And Robert,,Lincoln Park,41.92357,-87.64947,Private room,288,2,18,2024-10-27,0.15,1,147,2,2398451
28749,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,,Logan Square,41.91955,-87.70069,Entire home/apt,250,2,253,2025-06-05,1.43,1,80,44,R24000113825
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,82,3,134,2025-06-01,0.78,1,309,21,R23000108832
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,109,3,35,2025-06-13,0.99,1,175,10,R22000082956
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,268,32,77,2024-05-05,0.65,24,339,0,
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,349,32,87,2024-12-02,0.71,24,356,1,
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,238,3,699,2025-06-09,4.17,1,203,38,R23000108826
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,125,32,320,2025-02-01,1.91,3,319,2,
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50,32,48,2024-08-25,0.29,3,135,2,
220333,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,125,32,6,2024-07-03,0.04,3,320,1,
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,86,2,31,2025-06-01,0.20,1,53,3,R20000054219
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95758,-87.7271,Private room,57,2,210,2025-06-09,1.26,2,41,36,R22000094076
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,170,180,35,2018-01-15,0.21,1,359,0,
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,227,32,63,2021-10-17,0.39,1,313,0,
289689,"32 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,39,32,72,2025-04-22,0.44,1,167,3,R21000062931
345075,"Spacious, Vintage Hyde Park Apt.3",1746524,Patricia,,Kenwood,41.80774,-87.59459,Private room,115,2,301,2025-06-08,1.87,1,285,16,R22000076583
350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,845242,Jay,,Lake View,41.94107,-87.65492,Entire home/apt,250,3,803,2025-06-09,4.96,1,265,53,R22000081479
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,Hans,,West Town,41.89629,-87.65704,Entire home/apt,284,2,316,2025-05-19,2.06,2,298,23,2510875
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88947,-87.66933,Entire home/apt,,60,226,2025-04-06,1.43,1,26,8,R23000098892
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92518,-87.69549,Entire home/apt,105,32,649,2025-01-29,4.16,1,92,3,
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,91,2,441,2025-06-16,2.80,1,227,35,R23000111667
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,178,3,313,2025-06-08,1.98,1,198,10,R24000119110
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,63,32,57,2025-05-03,0.36,2,90,4,
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,64,3,150,2025-06-16,0.96,2,327,25,R22000091618
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,265,4,107,2025-05-25,1.25,1,114,13,R23000104039
651742,Edgebrook Lg bdr by golf course,2824576,Jefferson,,Forest Glen,41.99178,-87.75747,Private room,69,2,122,2025-06-08,0.81,2,348,14,R24000114190
662034,Edgebrook bdr by golf course,2824576,Jefferson,,Forest Glen,41.99405,-87.75746,Private room,60,2,102,2025-06-07,0.71,2,349,9,R23000095494
681842,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,,West Ridge,41.99373,-87.68279,Private room,52,32,33,2025-06-01,0.23,2,259,4,
697634,"2 BD Condo by downtown,park,lake",3574415,Marvin Stanley,,Near North Side,41.90437,-87.6335,Entire home/apt,105,32,160,2024-05-26,1.10,2,194,0,
726376,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,224,2,884,2025-05-29,5.74,2,21,62,R22000080211
732569,Entire 2BR Apt w/ Parking & 3 Beds,3814224,James,,Lower West Side,41.8559,-87.65336,Entire home/apt,284,2,157,2018-08-05,1.02,1,41,0,R25000129112
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,205,7,218,2024-12-03,1.50,1,225,2,R24000116754
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vasileios,,Logan Square,41.93115,-87.71836,Entire home/apt,120,32,32,2025-04-08,0.22,4,252,4,
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla,,Lincoln Park,41.92218,-87.66079,Private room,72,2,160,2025-02-09,1.10,1,194,6,R21000072699
929914,Victorian Home in Old Town,5007980,Lynn,,Lincoln Park,41.912410736083984,-87.63896942138672,Entire home/apt,,3,508,2025-05-26,3.42,1,5,23,R21000073898
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,136,32,22,2018-11-02,0.15,1,362,0,
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,,West Town,41.89602,-87.65659,Entire home/apt,321,2,485,2025-05-31,3.31,17,330,48,2457501
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86801,-87.67877,Entire home/apt,137,32,41,2023-09-01,0.27,1,72,0,
979841,"Huge Victorian near Loyola, Lake #1",5076708,Eduardo,,Rogers Park,42.00588,-87.66853,Private room,80,2,353,2025-06-08,2.38,4,284,30,R17000015436
979926,"Huge Victorian near Loyola, Lake #2",5076708,Eduardo,,Rogers Park,42.00477,-87.66842,Private room,73,2,394,2025-06-16,2.67,4,275,41,R17000015436
979942,"Huge Victorian near Loyola, Lake #3",5076708,Eduardo,,Rogers Park,42.00378,-87.66807,Private room,73,2,349,2025-06-12,2.35,4,282,28,R17000015436
983640,Huge Victorian near Loyola 2bd Apt,5076708,Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,179,2,304,2025-06-16,2.07,4,291,31,R17000015436
1020810,Beautiful Condo in Chicago,3843347,Andrea,,Near North Side,41.89395,-87.62593,Entire home/apt,85,32,42,2024-12-20,0.28,3,239,3,
1027463,Chicago Women's Residence Florence Comfy Rm,5654677,Urban Art,,North Lawndale,41.8544,-87.70852,Private room,45,32,11,2021-09-05,0.09,3,77,0,
1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,,North Lawndale,41.85454,-87.70802,Private room,,32,5,2019-10-13,0.06,3,12,0,
1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Paul,,Near South Side,41.85395,-87.62468,Entire home/apt,150,32,17,2024-12-07,0.12,19,259,1,
